name,id,nametype,recclass,fall,year,reclat,reclong,GeoLocation,mass (kg)
Cumulus Hills 04031,45999,1,327,1,2004.0,,,,0.0324
Cumulus Hills 04032,46000,1,414,1,2004.0,,,,0.0849
Cumulus Hills 04033,46001,1,327,1,2004.0,,,,0.0351
Cumulus Hills 04034,46002,1,327,1,2004.0,,,,0.0146
Cumulus Hills 04035,46003,1,327,1,2004.0,,,,0.0067
Cumulus Hills 04036,46004,1,327,1,2004.0,,,,0.019399999999999997
Cumulus Hills 04037,46005,1,184,1,2004.0,,,,0.056
Cumulus Hills 04038,46006,1,191,1,2004.0,,,,0.028
Cumulus Hills 04039,46007,1,327,1,2004.0,,,,0.0432
Cumulus Hills 04040,32506,1,327,1,2003.0,,,,0.0304
Cumulus Hills 04041,32507,1,374,1,2003.0,,,,0.0207
Cumulus Hills 04042,32508,1,374,1,2003.0,,,,0.0146
Cumulus Hills 04043,32509,1,333,1,2003.0,,,,0.0286
Cumulus Hills 04044,32510,1,462,1,2003.0,,,,0.0202
Cumulus Hills 04076,32532,1,431,1,2003.0,,,,0.0083
Cumulus Hills 04077,32533,1,431,1,2003.0,,,,9.625
Cumulus Hills 04078,32534,1,431,1,2003.0,,,,5.6952
Cumulus Hills 04079,32535,1,431,1,2003.0,,,,12.55
D'Angelo Bluff 06001,47364,1,333,1,2006.0,,,,0.026699999999999998
D'Angelo Bluff 06002,47365,1,378,1,2006.0,,,,0.0044
D'Angelo Bluff 06003,47366,1,333,1,2006.0,,,,0.0125
D'Angelo Bluff 06004,45012,1,44,1,2006.0,,,,0.0474
Dominion Range 03246,32598,1,327,1,2002.0,,,,0.07309999999999998
Dar al Gani 543,6091,1,333,1,1997.0,,,,0.223
Dar al Gani 670,6217,1,413,1,1999.0,,,,1.619
Dar al Gani 698,6245,1,374,1,1999.0,,,,10.4
Dar al Gani 996,6536,1,395,1,1999.0,,,,0.01231
Densmore (c),6658,1,429,1,1956.0,,,,3.9
Dominion Range 03247,32599,1,184,1,2002.0,,,,0.1046
Dominion Range 03248,32600,1,374,1,2002.0,,,,0.09
Dominion Range 03249,32601,1,374,1,2002.0,,,,0.0205
Dominion Range 03250,32602,1,374,1,2002.0,,,,0.6043
Dominion Range 03251,32603,1,374,1,2002.0,,,,0.6748
Dominion Range 03252,32604,1,191,1,2002.0,,,,0.4044
Dominion Range 03253,32605,1,184,1,2002.0,,,,1.2014
Dominion Range 03180,32536,1,184,1,2002.0,,,,0.2199
Dominion Range 03181,34565,1,276,1,2003.0,,,,5.363899999999999
Dominion Range 03182,7662,1,44,1,2003.0,,,,0.01979
Dominion Range 03183,7663,1,44,1,2003.0,,,,0.12451999999999999
Dominion Range 03184,7664,1,374,1,2003.0,,,,0.00185
Dominion Range 03185,32537,1,374,1,2002.0,,,,0.928
Dominion Range 03186,32538,1,327,1,2002.0,,,,1.4942
Dominion Range 03187,32539,1,374,1,2002.0,,,,0.8456
Dominion Range 03188,32540,1,327,1,2002.0,,,,0.7014
Dominion Range 03189,32541,1,327,1,2002.0,,,,1.0054
Dominion Range 03190,32542,1,327,1,2002.0,,,,0.504
Dominion Range 03191,32543,1,184,1,2002.0,,,,0.5943999999999999
Dominion Range 03192,32544,1,327,1,2002.0,,,,0.22740000000000002
Dominion Range 03193,32545,1,184,1,2002.0,,,,0.29869999999999997
Dominion Range 03194,32546,1,374,1,2002.0,,,,0.21309999999999998
Dominion Range 03195,32547,1,378,1,2002.0,,,,0.22590000000000002
Dominion Range 03196,32548,1,378,1,2002.0,,,,0.1423
Dominion Range 03197,32549,1,374,1,2002.0,,,,0.1886
Dominion Range 03198,32550,1,374,1,2002.0,,,,0.26180000000000003
Dominion Range 03199,32551,1,184,1,2002.0,,,,0.1439
Dominion Range 03200,32552,1,327,1,2002.0,,,,0.14780000000000001
Dominion Range 03201,32553,1,276,1,2002.0,,,,0.1146
Dominion Range 03202,32554,1,327,1,2002.0,,,,0.1163
Dominion Range 03203,32555,1,327,1,2002.0,,,,0.1162
Dominion Range 03204,32556,1,327,1,2002.0,,,,0.0932
Dominion Range 03205,32557,1,184,1,2002.0,,,,0.0676
Dominion Range 03206,32558,1,175,1,2002.0,,,,0.0702
Dominion Range 03207,32559,1,184,1,2002.0,,,,0.06570000000000001
Dominion Range 03208,32560,1,374,1,2002.0,,,,0.1105
Dominion Range 03209,32561,1,184,1,2002.0,,,,0.0788
Dominion Range 03210,32562,1,327,1,2002.0,,,,0.0458
Dominion Range 03211,32563,1,327,1,2002.0,,,,0.0799
Dominion Range 03212,32564,1,327,1,2002.0,,,,0.047
Dominion Range 03213,32565,1,374,1,2002.0,,,,0.0503
Dominion Range 03214,32566,1,184,1,2002.0,,,,0.0444
Dominion Range 03215,32567,1,184,1,2002.0,,,,0.0173
Dominion Range 03216,32568,1,184,1,2002.0,,,,0.0155
Dominion Range 03217,32569,1,374,1,2002.0,,,,0.0288
Dominion Range 03218,32570,1,184,1,2002.0,,,,0.0251
Dominion Range 03219,32571,1,135,1,2002.0,,,,0.0367
Dominion Range 03220,32572,1,191,1,2002.0,,,,0.0451
Dominion Range 03221,32573,1,184,1,2002.0,,,,0.053899999999999997
Dominion Range 03222,32574,1,191,1,2002.0,,,,0.0264
Dominion Range 03223,32575,1,369,1,2002.0,,,,0.0078
Dominion Range 03224,32576,1,327,1,2002.0,,,,0.0081
Dominion Range 03225,32577,1,327,1,2002.0,,,,0.0116
Dominion Range 03226,32578,1,327,1,2002.0,,,,0.004200000000000001
Dominion Range 03227,32579,1,374,1,2002.0,,,,0.0037
Dominion Range 03228,32580,1,374,1,2002.0,,,,0.005
Dominion Range 03229,32581,1,327,1,2002.0,,,,0.0031
Dominion Range 03230,32582,1,374,1,2002.0,,,,0.0033
Dominion Range 03231,32583,1,378,1,2002.0,,,,0.0038
Dominion Range 03232,32584,1,319,1,2002.0,,,,0.005900000000000001
Dominion Range 03233,32585,1,327,1,2002.0,,,,0.0046
